current_cooling_setpoint_c,current_heating_setpoint_c,environment_name,facility_demand_kw,facility_energy_j,handles_ready,occupancy,outdoor_temperature_c,simulation_timestamp,source,warmup_flag,zone_name,zone_temperature_c
27.0,16.0,environment-3,1.2306730057434274,,True,0.0,18.7,2013-01-01T05:30:00Z,EnergyPlusRuntime,False,SPACE1-1,20.618683355250496
27.0,16.0,environment-3,1.2306730057434274,,True,0.0,18.549999999999997,2013-01-01T05:45:00Z,EnergyPlusRuntime,False,SPACE1-1,20.587400633879398
27.0,16.0,environment-3,1.2306730057434274,,True,0.0,18.4,2013-01-01T06:00:00Z,EnergyPlusRuntime,False,SPACE1-1,20.556334311056037
27.0,16.0,environment-3,3.0794443903966755,,True,0.0,18.299999999999997,2013-01-01T06:20:00Z,EnergyPlusRuntime,False,SPACE1-1,20.03325205017513
27.0,16.0,environment-3,3.0955335814211526,,True,0.0,18.2,2013-01-01T06:38:00Z,EnergyPlusRuntime,False,SPACE1-1,19.713329263672414
27.0,16.0,environment-3,3.0866835437751017,,True,0.0,18.1,2013-01-01T06:45:00Z,EnergyPlusRuntime,False,SPACE1-1,19.566505796665588
27.0,16.0,environment-3,3.088601345633946,,True,0.0,18.0,2013-01-01T07:08:00Z,EnergyPlusRuntime,False,SPACE1-1,19.51401667675291
27.0,16.0,environment-3,3.13794894751776,,True,0.0,18.25,2013-01-01T07:23:00Z,EnergyPlusRuntime,False,SPACE1-1,19.50104481078599
27.0,16.0,environment-3,3.1923957035665698,,True,0.0,18.5,2013-01-01T07:35:00Z,EnergyPlusRuntime,False,SPACE1-1,19.509947680332182
27.0,16.0,environment-3,3.2451593649679475,,True,0.0,18.75,2013-01-01T07:53:00Z,EnergyPlusRuntime,False,SPACE1-1,19.53666350634469
27.0,16.0,environment-3,3.3036516869662105,,True,0.0,19.0,2013-01-01T08:08:00Z,EnergyPlusRuntime,False,SPACE1-1,19.58135427338197
27.0,16.0,environment-3,11.598889544060649,,True,11.0,19.05,2013-01-01T08:19:00Z,EnergyPlusRuntime,False,SPACE1-1,20.47014489276718
27.0,16.0,environment-3,11.566893755036384,,True,11.0,19.1,2013-01-01T08:34:00Z,EnergyPlusRuntime,False,SPACE1-1,21.172555379074154
27.0,16.0,environment-3,11.527787326717299,,True,11.0,19.15,2013-01-01T08:50:00Z,EnergyPlusRuntime,False,SPACE1-1,21.571709808307805
27.0,16.0,environment-3,11.47206312778017,,True,11.0,19.2,2013-01-01T09:08:00Z,EnergyPlusRuntime,False,SPACE1-1,21.893946066523824
22.0,20.0,environment-3,15.420736739804672,,True,11.0,20.15,2013-01-01T09:17:00Z,EnergyPlusRuntime,False,SPACE1-1,21.999180058094268
22.0,20.0,environment-3,15.736738812007825,,True,11.0,21.1,2013-01-01T09:38:00Z,EnergyPlusRuntime,False,SPACE1-1,21.99951115478097
22.0,20.0,environment-3,16.032915491762186,,True,11.0,22.05,2013-01-01T09:45:00Z,EnergyPlusRuntime,False,SPACE1-1,21.999338779757064
22.0,20.0,environment-3,16.373730069385648,,True,11.0,23.0,2013-01-01T10:00:00Z,EnergyPlusRuntime,False,SPACE1-1,21.999274134625875
23.0,20.0,environment-3,16.792235510531878,,True,11.0,23.5,2013-01-01T10:20:00Z,EnergyPlusRuntime,False,SPACE1-1,22.845332216125236
23.0,20.0,environment-3,16.99128586242513,,True,11.0,24.0,2013-01-01T10:30:00Z,EnergyPlusRuntime,False,SPACE1-1,22.998624601642362
23.0,20.0,environment-3,17.117559030951686,,True,11.0,24.5,2013-01-01T10:45:00Z,EnergyPlusRuntime,False,SPACE1-1,22.99905289134018
23.0,20.0,environment-3,17.30378140219108,,True,11.0,25.0,2013-01-01T11:00:00Z,EnergyPlusRuntime,False,SPACE1-1,22.99902485597484
23.0,20.0,environment-3,16.79688960096754,,True,8.8,24.85,2013-01-01T11:15:00Z,EnergyPlusRuntime,False,SPACE1-1,22.999019510111015
23.0,20.0,environment-3,16.797340525072098,,True,8.8,24.7,2013-01-01T11:30:00Z,EnergyPlusRuntime,False,SPACE1-1,22.99907592561659
23.0,20.0,environment-3,16.809967389647948,,True,8.8,24.549999999999997,2013-01-01T11:45:00Z,EnergyPlusRuntime,False,SPACE1-1,22.99912195844404
23.0,20.0,environment-3,16.819391963133086,,True,8.8,24.4,2013-01-01T12:00:00Z,EnergyPlusRuntime,False,SPACE1-1,22.999139876893484
22.0,20.0,environment-3,15.821666200119838,,True,4.4,25.049999999999997,2013-01-01T12:20:00Z,EnergyPlusRuntime,False,SPACE1-1,22.257369024535244
22.0,20.0,environment-3,15.893615742562638,,True,4.4,25.7,2013-01-01T12:30:00Z,EnergyPlusRuntime,False,SPACE1-1,22.00548351067659
22.0,20.0,environment-3,16.077689249505323,,True,4.4,26.35,2013-01-01T12:45:00Z,EnergyPlusRuntime,False,SPACE1-1,22.000918888046552
22.0,20.0,environment-3,16.224610814186054,,True,4.4,27.0,2013-01-01T13:00:00Z,EnergyPlusRuntime,False,SPACE1-1,21.999834486955773
